Title;Authors;Publication;Volume;Number;Pages;Year;Publisher;Search Query;Duplicate removal;I1 (SA Method);I2 (software only);I3 (english);I4 (available);I5 (peer reviewed);E1 (Removal of secondary study);E2 (Unavailable);Included for data extraction;;;;
Midas: a design quality assessment method for industrial software;"Samarthyam, Ganesh; Suryanarayana, Girish; Sharma, Tushar; Gupta, Shrinath;";2013 35th International Conference on Software Engineering (ICSE);;;911-920;2013;IEEE;SQ1;;;;x;x;x;;;;;;;
The impact of component architectures on interoperability;"Davis, L; Gamble, Rose F; Payton, Jamie;";Journal of Systems and Software;61;1;31-45;2002;Elsevier;SQ1;;;;x;x;x;;;;;;;
Feature analysis for architectural evaluation methods;"Grimán, Anna; Pérez, Maria; Mendoza, L; Losavio, Francisca;";Journal of Systems and Software;79;6;871-888;2006;Elsevier;SQ1;;;;x;x;x;;;;;;;
Challenges on the relationship between architectural patterns and quality attributes;"Me, Gianantonio; Procaccianti, Giuseppe; Lago, Patricia;";2017 IEEE International Conference on Software Architecture (ICSA);;;141-144;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Software Architecture For Integrating Devs Simulation Into BIM;"Patel, Mitali; Rajus, Vinu Subashini; Wainer, Gabriel;";2022 Annual Modeling and Simulation Conference (ANNSIM);;;670-681;2022;IEEE;SQ1;;;;x;x;x;;;;;;;
Evolutionary architecting of embedded automotive product lines: An industrial case study;"Axelsson, Jakob;";2009 Joint Working IEEE/IFIP Conference on Software Architecture & European Conference on Software Architecture;;;101-110;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Software architecture for smart emotion recognition and regulation of the ageing adult;"Castillo, José Carlos; Castro-González, Álvaro; Fernández-Caballero, Antonio; Latorre, José Miguel; Pastor, José Manuel; Fernández-Sotos, Alicia; Salichs, Miguel A;";Cognitive Computation;8;2;357-367;2016;Springer;SQ1;;;;x;x;x;;;;;;;
Software testing at the architectural level;"Richardson, Debra J; Wolf, Alexander L;";Joint proceedings of the second international software architecture workshop (ISAW-2) and international workshop on multiple perspectives in software development (Viewpoints' 96) on SIGSOFT'96 workshops;;;68-71;1996;;SQ1;;;;x;x;x;;;;;;;
Measuring the impact of code dependencies on software architecture recovery techniques;"Lutellier, Thibaud; Chollak, Devin; Garcia, Joshua; Tan, Lin; Rayside, Derek; Medvidović, Nenad; Kroeger, Robert;";IEEE Transactions on Software Engineering;44;2;159-181;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Microservices in industry: insights into technologies, characteristics, and software quality;"Bogner, Justus; Fritzsch, Jonas; Wagner, Stefan; Zimmermann, Alfred;";2019 IEEE international conference on software architecture companion (ICSA-C);;;187-195;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Quality Assurance Tradeoff Analysis Method (QATAM);"Biffla, Stefan; Dengerb, Christian; Elberzhagerb, Frank; Winklera, Dietmar;";An Empirical Quality Assurance Planning and Evaluation Framework;;;;2008;;SQ1;;;;x;x;x;;;;;;;
Enriching architecture knowledge with technology design decisions;"Soliman, Mohamed; Riebisch, Matthias; Zdun, Uwe;";2015 12th Working IEEE/IFIP Conference on Software Architecture;;;135-144;2015;IEEE;SQ1;;;;x;x;x;;;;;;;
Adequacy, accuracy, scalability, and uncertainty of architecture-based software reliability: Lessons learned from large empirical case studies;"Go, Katerina; Hamill, Margaret; Wang, Xuan;";2006 17th International Symposium on Software Reliability Engineering;;;197-203;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Assessing design quality from a software architectural perspective;"Carrière, Jeromy; Kazman, Rick;";;;;;1997;Citeseer;SQ1;;;;x;x;;;;;;;;
Systematic literature reviews in software engineering–a tertiary study;"Kitchenham, Barbara; Pretorius, Rialette; Budgen, David; Brereton, O Pearl; Turner, Mark; Niazi, Mahmood; Linkman, Stephen;";Information and software technology;52;8;792-805;2010;Elsevier;SQ1;;;;x;x;x;x;;;;;;
Health monitoring framework for bridges and civil infrastructure;"Elgamal, Ahmed; Conte, JP; Masri, S; Fraser, M; Fountain, T; Gupta, A; Trivedi, M; El Zarki, M;";Proceedings of the 4th international workshop on structural health monitoring;;;123-130;2003;;SQ1;;;;x;x;x;;;;;;;
Extending UML components to develop software product-line architectures: Lessons learned;"Contieri, Antonio C; Correia, Guilherme G; Colanzi, Thelma E; Gimenes, Itana; Oliveira, Edson A; Ferrari, Sandra; Masiero, Paulo C; Garcia, Alessandro F;";European Conference on Software Architecture;;;130-138;2011;Springer;SQ1;;;;x;x;x;;;;;;;
Criteria for the evaluation of implemented architectures;"Bouwers, Eric; Visser, Joost; Van Deursen, Arie;";2009 IEEE International Conference on Software Maintenance;;;73-82;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Architecture-based performance analysis applied to a telecommunication system;"Petriu, Dorina; Shousha, Christiane; Jalnapurkar, Anant;";IEEE Transactions on Software Engineering;26;11;1049-1065;2000;IEEE;SQ1;;;;x;x;x;;;;;;;
MARMI-RE: a method and tools for legacy system modernization;"Cho, Eun Sook; Cha, Jung Eun; Yang, Young Jong;";International Conference on Software Engineering Research and Applications;;;42-57;2004;Springer;SQ1;;;;x;x;x;;;;;;;
Evaluating performance attributes of layered software architecture;"Sharma, Vibhu Saujanya; Jalote, Pankaj; Trivedi, Kishor S;";International Symposium on Component-Based Software Engineering;;;66-81;2005;Springer;SQ1;;;;x;x;x;;;;;;;
Applied software architecture;"Hofmeister, Christine; Nord, Robert; Soni, Dilip;";;;;;2000;Addison-Wesley Professional;SQ1;;;;x;x;;;;;;;;
Integrated formal tools for software architecture smell detection;"Chondamrongkul, Nacha; Sun, Jing; Warren, Ian; Lee, Scott Uk-Jin;";International Journal of Software Engineering and Knowledge Engineering;30;6;723-763;2020;World Scientific;SQ1;;;;x;x;x;;;;;;;
SATT: Tailoring code metric thresholds for different software architectures;"Aniche, Maurício; Treude, Christoph; Zaidman, Andy; Van Deursen, Arie; Gerosa, Marco Aurélio;";2016 IEEE 16th international working conference on source code analysis and manipulation (SCAM);;;41-50;2016;IEEE;SQ1;;;;x;x;x;;;;;;;
Requirements for integrating software architecture and reengineering models: CORUM II;"Kazman, Rick; Woods, Steven G; Carrière, S Jeromy;";Proceedings fifth working conference on reverse engineering (Cat. No. 98TB100261);;;154-163;1998;IEEE;SQ1;;;;x;x;x;;;;;;;
Applying case-based learning for a postgraduate software architecture course;"Ouh, Eng Lieh; Irawan, Yunghans;";Proceedings of the 2019 ACM Conference on Innovation and Technology in Computer Science Education;;;457-463;2019;;SQ1;;;;x;x;x;;;;;;;
Open/Cæsar: An open software architecture for verification, simulation, and testing;"Garavel, Hubert;";International Conference on Tools and Algorithms for the Construction and Analysis of Systems;;;68-84;1998;Springer;SQ1;;;;x;x;x;;;;;;;
Experiments in curation: towards machine-assisted construction of software architecture knowledge bases;"Gorton, Ian; Xu, Rouchen; Yang, Yiming; Liu, Hanxiao; Zheng, Guoqing;";2017 IEEE International Conference on Software Architecture (ICSA);;;79-88;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Capturing and using software architecture knowledge for architecture-based software development;"Babar, Muhammad Ali; Gorton, Ian; Jeffery, Ross;";Fifth International Conference on Quality Software (QSIC'05);;;169-176;2005;IEEE;SQ1;;;;x;x;x;;;;;;;
An architectural approach with separation of concerns to address extra-functional requirements in the development of embedded real-time software systems;"Panunzio, Marco; Vardanega, Tullio;";Journal of Systems Architecture;60;9;770-781;2014;Elsevier;SQ1;;;;x;x;x;;;;;;;
Empirically-grounded reference architectures: a proposal;"Galster, Matthias; Avgeriou, Paris;";Proceedings of the joint ACM SIGSOFT conference--QoSA and ACM SIGSOFT symposium--ISARCS on Quality of software architectures--QoSA and architecting critical systems--ISARCS;;;153-158;2011;;SQ1;;;;x;x;x;;;;;;;
Assessing Self-Adaptation Strategies Using Cost-Benefit Analysis;"Gerostathopoulos, Ilias; Raibulet, Claudia; Alberts, Elvin;";2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C);;;92-95;2022;IEEE;SQ1;;;;x;x;x;;;;;;;
The Incompleteness of the Risk Assessment Methods;"Georgieva, Konstantina;";Softwaretechnik-Trends;29;2;42-47;2009;Citeseer;SQ1;;;;x;x;x;;;;;;;
Quantitative measurement of software architectural qualities through cosmic ffp;"Zayaraz, G; Thambidurai, P;";2006 Annual IEEE India Conference;;;1-4;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Design of the software architecture for starcraft video game on the basis of finite state machines;"Smolyakov, Ivan Y; Belyaev, Sergey A;";2019 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (EIConRus);;;356-359;2019;IEEE;SQ1;;;;x;x;x;;;;;;;
Variability in software architecture: current practice and challenges;"Galster, Matthias; Avgeriou, Paris; Weyns, Danny; Männistö, Tomi;";ACM SIGSOFT Software Engineering Notes;36;5;30-32;2011;ACM New York, NY, USA;SQ1;;;;x;x;x;;;;;;;
webMUSHRA—A comprehensive framework for web-based listening tests;"Schoeffler, Michael; Bartoschek, Sarah; Stöter, Fabian-Robert; Roess, Marlene; Westphal, Susanne; Edler, Bernd; Herre, Jürgen;";Journal of Open Research Software;6;1;;2018;Ubiquity Press;SQ1;;;;x;x;x;;;;;;;
Empirical assessment of architecture-based reliability of open-source software;"Perugupalli, Ranganath;";;;;;2004;West Virginia University;SQ1;;;;x;x;;;;;;;;
Autonomous driving systems hardware and software architecture exploration: optimizing latency and cost under safety constraints;"Collin, Anne; Siddiqi, Afreen; Imanishi, Yuto; Rebentisch, Eric; Tanimichi, Taisetsu; de Weck, Olivier L;";Systems Engineering;23;3;327-337;2020;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
Cacophony: Metamodel-driven software architecture reconstruction;"Favre, J-M;";11th Working Conference on Reverse Engineering;;;204-213;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
The green lab: Experimentation in software energy efficiency;"Procaccianti, Giuseppe; Lago, Patricia; Vetro, Antonio; Fernández, Daniel Méndez; Wieringa, Roel;";2015 IEEE/ACM 37th IEEE International Conference on Software Engineering;2;;941-942;2015;IEEE;SQ1;;;;x;x;x;;;;;;;
Classification of Software Engineering Contributions to Support Validation Techniques and Research Applications;"Kaplan, Angelika;";Proceedings of the International Conference on Evaluation and Assessment in Software Engineering 2022;;;323-328;2022;;SQ1;;;;x;x;x;;;;;;;
A collaborative approach to teaching software architecture;"Van Deursen, Arie; Aniche, Maurício; Aué, Joop; Slag, Rogier; De Jong, Michael; Nederlof, Alex; Bouwers, Eric;";Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education;;;591-596;2017;;SQ1;;;;x;x;x;;;;;;;
A systematic review of studies of open source software evolution;"Breivold, Hongyu Pei; Chauhan, Muhammad Aufeef; Babar, Muhammad Ali;";2010 Asia Pacific Software Engineering Conference;;;356-365;2010;IEEE;SQ1;;;;x;x;x;x;;;;;;
Effective world modeling: Multisensor data fusion methodology for automated driving;"Elfring, Jos; Appeldoorn, Rein; Van den Dries, Sjoerd; Kwakkernaat, Maurice;";Sensors;16;10;1668;2016;MDPI;SQ1;;;;x;x;x;;;;;;;
A Pattern Language for Architecture Assessments of Service-oriented Enterprise Systems;"Zimmermann, Alfred; Laux, Fritz; Reiners, René;";PATTERNS 2011, Third International Conferences on Pervasive Patterns and Applications;;;7-12;2011;;SQ1;;;;x;x;x;;;;;;;
Experiences with using the systematic method for architecture recovery (SyMAR);"Solms, Fritz;";Proceedings of the South African Institute for Computer Scientists and Information Technologists Conference;;;170-178;2013;;SQ1;;;;x;x;x;;;;;;;
Architecture knowledge management: Challenges, approaches, and tools;"Babar, Muhammad Ali; Gorton, Ian;";29th International Conference on Software Engineering (ICSE'07 Companion);;;170-171;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
Enterprise architecture Stakeholders-a holistic view;"Niemi, Eetu;";AMCIS 2007 Proceedings;;;41;2007;;SQ1;;;;x;x;x;;;;;;;
A scenario-based architecture evaluation framework for network enabled capability;"Venters, Colin C; Russell, Duncan J; Liu, Lu; Luo, Zongyang; Webster, David E; Xu, Jie;";2009 33rd Annual IEEE International Computer Software and Applications Conference;2;;9-12;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Assessing software interference management when modifying safety-related software;"Graydon, Patrick J; Kelly, Tim P;";International Conference on Computer Safety, Reliability, and Security;;;132-145;2012;Springer;SQ1;;;;x;x;x;;;;;;;
"Architecture, Design, and System; Performance Assessment and Development Methodology for Computer-Based Systems. Volume 1. Methodology Description, Discussion, and Assessment";"Franklin, J; Gray Jr, C; Wrenn, A;";;;;;1983;NAVAL SURFACE WEAPONS CENTER SILVER SPRING MD;SQ1;;;;x;x;;;;;;;;
Architectural knowledge for technology decisions in developer communities: An exploratory study with stackoverflow;"Soliman, Mohamed; Galster, Matthias; Salama, Amr R; Riebisch, Matthias;";2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA);;;128-133;2016;IEEE;SQ1;;;;x;x;x;;;;;;;
Safety assessment methods for avionics software system;"Mao, Jiawen;";;;;;2017;;SQ1;;;;x;x;;;;;;;;
A systematic SOA-based architecture process;"Júnior, José Jorge Lima Dias; de Almeida, Eduardo Santana; de Lemos Meira, Silvio Romero;";SEKE2009;;;328;2009;Knowledge Systems Institute;SQ1;;;;x;x;x;;;;;;;
Adaptability evaluation at software architecture level;"Tarvainen, Pentti;";The Open Software Engineering Journal;2;1;;2008;;SQ1;;x;x;x;x;x;;;x;;;;
Kinespell: Kinesthetic Learning Activity and Assessment in a Digital Game-Based Learning Environment;"Cariaga, Ada Angeli; Salvador, Jay Andrae; Solamo, Ma; Feria, Rommel;";International Conference on Web-Based Learning;;;108-111;2009;Springer;SQ1;;;;x;x;x;;;;;;;
Beyond software architecture: creating and sustaining winning solutions;"Hohmann, Luke;";;;;;2003;Addison-Wesley Professional;SQ1;;;;x;x;;;;;;;;
Survivability modeling to assess deployment alternatives accounting for rejuvenation;"Jacques-Silva, Gabriela; Avritzer, Alberto; Menasche, Daniel S; Koziolek, Anne; Happe, Lucia; Suresh, Sindhu;";2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW);;;114-119;2015;IEEE;SQ1;;;;x;x;x;;;;;;;
Towards a chemical model for software architecture reconfiguration;"Wermelinger, Michel;";Proceedings. Fourth International Conference on Configurable Distributed Systems (Cat. No. 98EX159);;;111-118;1998;IEEE;SQ1;;;;x;x;x;;;;;;;
Evolving software product lines with aspects;"Figueiredo, Eduardo; Cacho, Nelio; Sant'Anna, Claudio; Monteiro, Mario; Kulesza, Uira; Garcia, Alessandro; Soares, Sergio; Ferrari, Fabiano; Khan, Safoora; Castor Filho, Fernando;";2008 ACM/IEEE 30th International Conference on Software Engineering;;;261-270;2008;IEEE;SQ1;;;;x;x;x;;;;;;;
The software architecture of a distributed problem‐solving environment;"Walker, David W.; Li, Maozhen; Rana, Omer F.; Shields, Matthew S.; Huang, Yan;";Concurrency: Practice and Experience;12;15;1455-1480;2000;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
Abstractions for software architecture and tools to support them;"Shaw, Mary; DeLine, Robert; Klein, Daniel V.; Ross, Theodore L.; Young, David M.; Zelesnik, Gregory;";IEEE transactions on software engineering;21;4;314-335;1995;IEEE;SQ1;;;;x;x;x;;;;;;;
Scenario-driven architecture assessment methodology for large data analysis systems;"Begoli, Edmon; Chila, Theodore F; Inmon, William H;";2013 IEEE International Systems Conference (SysCon);;;51-55;2013;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
QCR–a methodology for software evolution analysis;"Bansal, Esha; Bansal, Nisha;";Int. J. Comput. Corporate Res;1;3;;2011;;SQ1;;;;x;x;x;;;;;;;
Applying model based techniques for early safety evaluation of an automotive architecture in compliance with the ISO 26262 standard;"Cuenot, P; Ainhauser, C; Adler, N; Otten, S; Meurville, F;";Embedded Real Time Software and Systems (ERTS2014);;;;2014;;SQ1;;;;x;x;x;;;;;;;
A clinical workstation software for voice quality assessment.;"Cai, Jun; Alpan, Ali; Dubuisson, Thomas; Verduyckt, I; Grenez, Francis; Schoentgen, Jean;";MAVEBA;;;37-40;2009;;SQ1;;;;x;x;x;;;;;;;
Do the informal & formal software modeling notations satisfy practitioners for software architecture modeling?;"Ozkaya, Mert;";Information and Software Technology;95;;15-33;2018;Elsevier;SQ1;;;;x;x;x;;;;;;;
Integral design of E-Commerce systems: Aligning the business with software architecture through scenarios;"Gordijn, Jaap; de Bruin, Hans; Akkermans, JM;";ICT-Architecture in the BeNeLux;;;;1999;;SQ1;;;;x;x;x;;;;;;;
The impact of refactoring on class and architecture stability;"Alshayeb, Mohammad;";Journal of Research and Practice in Information Technology;43;4;269-284;2011;;SQ1;;;;x;x;x;;;;;;;
Rationale, decisions and alternatives traceability for architecture design;"Gilson, Fabian; Englebert, Vincent;";Proceedings of the 5th European Conference on Software Architecture: Companion Volume;;;1-9;2011;;SQ1;;;;x;x;x;;;;;;;
Visualization tool for transient stability monitoring of bulk power systems based on DSR;"Yuan, Zeng; Wei, Wei; Jinli, Zhao; Hongjie, Jia;";APCCAS 2008-2008 IEEE Asia Pacific Conference on Circuits and Systems;;;1900-1903;2008;IEEE;SQ1;;;;x;x;x;;;;;;;
One graph to rule them all software measurement and management;"Dąbrowski, Robert; Timoszuk, Grzegorz; Stencel, Krzysztof;";Fundamenta Informaticae;128;1-2;47-63;2013;IOS Press;SQ1;;;;x;x;x;;;;;;;
The software architecture of climate models: a graphical comparison of CMIP5 and EMICAR5 configurations;"Alexander, Kaitlin; Easterbrook, Stephen M;";Geoscientific Model Development;8;4;1221-1232;2015;Copernicus GmbH;SQ1;;;;x;x;x;;;;;;;
Interoperability Assessment Environment;"Francesconi, E; Faro, S; Marinai, E; Sandrucci, V;";;;;;;Citeseer;SQ1;;;;x;x;;;;;;;;
Gray box risk assessment for telecommunications software modifications;"Rauscher, KF; Rak, DJ;";Proceedings of ICC/SUPERCOMM'96-International Conference on Communications;1;;208-213;1996;IEEE;SQ1;;;;x;x;x;;;;;;;
A generic software architecture for a driver information system to organize and operate truck platoons;"Friedrichs, Andreas; Meisen, Philipp; Henning, Klaus;";Vortragsveroeffentlichung, International Conference on Heavy Vehicles (HHVT 2008), Paris;;;;2008;;SQ1;;;;x;x;x;;;;;;;
We’re doing it live: A multi-method empirical study on continuous experimentation;"Schermann, Gerald; Cito, Jürgen; Leitner, Philipp; Zdun, Uwe; Gall, Harald C;";Information and Software Technology;99;;41-57;2018;Elsevier;SQ1;;;;x;x;x;;;;;;;
A new AHP-based approach towards enterprise architecture quality attribute analysis;"Davoudi, Mahsa Razavi; Aliee, Fereidoon Shams;";2009 Third International Conference on Research Challenges in Information Science;;;333-342;2009;IEEE;SQ1;;x;x;x;x;x;;;x;;;;
A meta-model for information systems quality: a mixed study of the financial sector;"Russo, Daniel; Ciancarini, Paolo; Falasconi, Tommaso; Tomasi, Massimo;";ACM Transactions on Management Information Systems (TMIS);9;3;1-38;2018;ACM New York, NY, USA;SQ1;;;;x;x;x;;;;;;;
A standard driven software architecture for fully autonomous vehicles;"Serban, Alexandru Constantin; Poll, Erik; Visser, Joost;";2018 IEEE International Conference on Software Architecture Companion (ICSA-C);;;120-127;2018;IEEE;SQ1;;;;x;x;x;;;;;;;
View-based software architecture reconstruction;"Riva, Claudio;";;;;;2004;;SQ1;;;;x;x;;;;;;;;
Path testing based reliability analysis framework of component based software system;"Kaliraj, S; Bharathi, A;";Measurement;144;;20-32;2019;Elsevier;SQ1;;;;x;x;x;;;;;;;
Information System Architecture Evaluation: From Software to Enterprise Level Approaches;"Vasconcelos, André; Sousa, Pedro; Tribolet, José;";Proceedings, 12th European Conference On Information Technology Evaluation (ECITE 2005), Turku, Finland;;;;2005;;SQ1;;x;x;x;x;x;;;x;;;;
Assessing Support for Industry Standards in Reference Medical Software Architectures;"Han, Shihui; Sinha, Roopak; Lowe, Andrew;";IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society;;;3403-3407;2020;IEEE;SQ1;;;;x;x;x;;;;;;;
Improvement of Self-Assessment Effectiveness by Activity Monitoring and Analysis;"Burdescu, Dumitru Dan; Mihaescu, Marian Cristian;";Monitoring and Assessment in Online Collaborative Environments: Emergent Computational Technologies for E-Learning Support;;;198-217;2010;IGI Global;SQ1;;;;x;x;x;;;;;;;
APOLLO3: a common project of CEA, AREVA and EDF for the development of a new deterministic multi-purpose code for core physics analysis;"Golfier, H; Lenain, R; Calvin, C; Lautard, JJ; Baudron, AM; Fougeras, PH; Magat, PH; Martinolli, E; Dutheillet, Y;";;;;;2009;;SQ1;;;;x;x;;;;;;;;
FLRA: A reference architecture for federated learning systems;"Lo, Sin Kit; Lu, Qinghua; Paik, Hye-Young; Zhu, Liming;";European Conference on Software Architecture;;;83-98;2021;Springer;SQ1;;;;x;x;x;;;;;;;
Weighing lexical information for software clustering in the context of architecture recovery;"Corazza, Anna; Di Martino, Sergio; Maggio, Valerio; Scanniello, Giuseppe;";Empirical Software Engineering;21;1;72-103;2016;Springer;SQ1;;;;x;x;x;;;;;;;
On the interaction between business models and software architecture in electronic commerce;"Gordijn, Jaap; Van Vliet, JC;";Addendum to the proceedings of the 7th European Software Engineering Conference/Foundations of Software Engineering, Toulouse;;;;1999;;SQ1;;;;x;x;x;;;;;;;
Hardware/software architecture for real-time ECG monitoring and analysis leveraging MPSoC technology;"Al Khatib, Iyad; Bertozzi, Davide; Poletti, Francesco; Benini, Luca; Jantsch, Axel; Bechara, Mohamed; Khalifeh, Hasan; Hajjar, Mazen; Nabiev, Rustam; Jonsson, Sven;";Transactions on High-Performance Embedded Architectures and Compilers I;;;239-258;2007;Springer;SQ1;;;;x;x;x;;;;;;;
Towards an automated quality assessment of UML-based software architectures.;"Günzler, Andreas; von Roennebeck, Daniel;";IASTED Conf. on Software Engineering and Applications;;;167-172;2004;;SQ1;;;;x;x;x;;;;;;;
Generating well-synchronized multithreaded programs from software architecture descriptions;"Bernardo, Marco; Bonta, Edoardo;";Proceedings. Fourth Working IEEE/IFIP Conference on Software Architecture (WICSA 2004);;;167-176;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
APOLLO3: CEA/DEN deterministic multi-purpose code for reactor physics analysis;"Schneider, Didier; Dolci, F; Gabriel, F; Palau, JM; Guillo, M; Pothet, B; Archier, P; Ammar, K; Auffret, F; Baron, R;";Proc. PHYSOR;;;1-5;2016;;SQ1;;;;x;x;x;;;;;;;
Achieving product qualities through software architecture practices;"Northrop, Linda;";;;;;2004;CARNEGIE-MELLON UNIV PITTSBURGH PA SOFTWARE ENGINEERING INST;SQ1;;;;x;x;;;;;;;;
An Empirical Assessment of Software Engineering Curriculum in Developing Economies and its Professional Relevance;"Alawairdhi, Mohammed;";Proceedings of the 2020 9th International Conference on Educational and Information Technology;;;8-13;2020;;SQ1;;;;x;x;x;;;;;;;
Software Architecture in Practice: Software Architect Practice_c3;"Bass, Len; Clements, Paul; Kazman, Rick;";;;;;2012;Addison-Wesley;SQ1;;;;x;x;;;;;;;;
An approach towards enterprise architecture analysis using AHP and fuzzy AHP;"Davoudi, M Razavi; Sheikhvand, K;";International Journal of Machine Learning and Computing;2;1;46;2012;IACSIT Press;SQ1;;x;x;x;x;x;;;x;;;;
Combining agile software projects and large‐scale organizational agility;"Kettunen, Petri; Laanti, Maarit;";Software Process: Improvement and Practice;13;2;183-193;2008;Wiley Online Library;SQ1;;;;x;x;x;;;;;;;
Software architecture as a means of communication in a globally distributed software development context;"Berntsson Svensson, Richard; Aurum, Aybüke; Paech, Barbara; Gorschek, Tony; Sharma, Devesh;";International Conference on Product Focused Software Process Improvement;;;175-189;2012;Springer;SQ1;;;;x;x;x;;;;;;;
A fully hydrodynamic urban flood modelling system representing buildings, green space and interventions;"Glenis, Vassilis; Kutija, Vedrana; Kilsby, Chris G;";Environmental Modelling & Software;109;;272-292;2018;Elsevier;SQ1;;;;x;x;x;;;;;;;
IT Risk Identification and Assessment Methodology;"Podziņš, Oskars; Romānovs, Andrejs;";ENVIRONMENT. TECHNOLOGIES. RESOURCES. Proceedings of the International Scientific and Practical Conference;2;;124-127;2017;;SQ1;;;;x;x;x;;;;;;;
Architecture-based approaches to software reliability prediction;"Goševa-Popstojanova, Katerina; Trivedi, Kishor S;";Computers & Mathematics with Applications;46;7;1023-1036;2003;Elsevier;SQ1;;;;x;x;x;;;;;;;
Efficient parallel multi-objective optimization for real-time systems software design exploration;"Bouaziz, Rahma; Lemarchand, Laurent; Singhoff, Frank; Zalila, Bechir; Jmaiel, Mohamed;";Proceedings of the 27th International Symposium on Rapid System Prototyping: Shortening the Path from Specification to Prototype;;;58-64;2016;;SQ1;;;;x;x;x;;;;;;;
"Architecture Engagement Purposes: Towards a Framework for Planning"" Just Enough""-Architecting in Software Engineering";"Keuler, Thorsten; Knodel, Jens; Naab, Matthias; Rost, Dominik;";2012 Joint Working IEEE/IFIP Conference on Software Architecture and European Conference on Software Architecture;;;234-238;2012;IEEE;SQ1;;;;x;x;x;;;;;;;
Software project risk analysis and assessment: A survey;"Sankhwar, Shweta; Pandey, Dhirendra;";Global Journal of Multidisciplinary Studies;3;5;144-160;2014;Citeseer;SQ1;;;;x;x;x;x;;;;;;
A fuzzy analytical hierarchy process (FAHP) based software quality assessment model: maintainability analysis;"Dayanandan, Udaya; Kalimuthu, Vivekanandan;";International Journal of Intelligent Engineering and Systems;11;4;88-96;2018;;SQ1;;x;x;x;x;x;;;x;;;;
From requirements negotiation to software architectural decisions;"In, Hoh; Kazman, Rick; Olson, David;";Proc. from Software Requirements to Architectures Workshop STRAW;;;;2001;;SQ1;;;;x;x;x;;;;;;;
Mommy, where do software architectures come from;"Kruchten, Philippe;";Proceedings of the 1st Intl. Workshop on Architectures for Software Systems;;;198-205;1995;;SQ1;;;;x;x;x;;;;;;;
Security Assessment of Software Design using Neural Network;"Adebiyi, A; Arreymbi, Johnnes; Imafidon, Chris;";arXiv preprint arXiv:1303.2017;;;;2013;;SQ1;;;;x;x;x;;;;;;;
An extensible, modular architecture for simulating urban development, transportation, and environmental impacts;"Noth, Michael; Borning, Alan; Waddell, Paul;";Computers, Environment and Urban Systems;27;2;181-203;2003;Elsevier;SQ1;;;;x;x;x;;;;;;;
Quantifying software product line ageing;"Johnsson, Susanne; Bosch, Jan;";Software Product Lines: Economics, Architectures, and Implications;;;;2000;Citeseer;SQ1;;;;x;x;x;;;;;;;
Design of a software architecture supporting business-to-government information sharing to improve public safety and security;"Engelenburg, Sélinde van; Janssen, Marijn; Klievink, Bram;";Journal of Intelligent information systems;52;3;595-618;2019;Springer;SQ1;;;;x;x;x;;;;;;;
What does research say about agile and architecture?;"Breivold, Hongyu Pei; Sundmark, Daniel; Wallin, Peter; Larsson, Stig;";2010 Fifth International Conference on Software Engineering Advances;;;32-37;2010;IEEE;SQ1;;;;x;x;x;;;;;;;
Resolving requirement conflicts through non-functional decomposition;"Poort, Eltjo R; de With, PHN;";Proceedings. Fourth Working IEEE/IFIP Conference on Software Architecture (WICSA 2004);;;145-154;2004;IEEE;SQ1;;;;x;x;x;;;;;;;
Advanced diagnostics and prognostics testbed;"Poll, Scott; Patterson-Hine, Ann; Camisa, Joe; Garcia, David; Hall, David; Lee, Charles; Mengshoel, Ole J; Neukom, Christian; Nishikawa, David; Ossenfort, John;";Proceedings of the 18th International Workshop on Principles of Diagnosis (DX-07);;;178-185;2007;;SQ1;;;;x;x;x;;;;;;;
An assessment of existing component-based software development methodologies and a holistic approach to CBSD;"Tun, Thein Than;";;;;;2005;London Metropolitan University;SQ1;;;;x;x;;;;;;;;
Assessing changeability by investigating the propagation of change types;"Fluri, Beat;";29th International Conference on Software Engineering (ICSE'07 Companion);;;97-98;2007;IEEE;SQ1;;;;x;x;x;;;;;;;
